"","MONTH","YEAR","ACTIVITY","mean"
"110","8","2020","Personal Care",582.04274355506
"111","8","2020","Phone Calls",7.92447658209505
"112","8","2020","Care Services",4.27756388159716
"113","8","2020","Consumer Purchasing",15.6193916587786
"114","8","2020","Religious/Spiritual Activities",5.81540173077201
"115","8","2020","Socializing and Leisure",323.12426744945
"116","8","2020","Sports and Exercise",29.5978677589015
"117","8","2020","Traveling",49.6341615344593
"118","8","2020","Volunteering",5.16824521450543
"119","8","2020","Work",173.053652956623
"120","9","2020","Caring for Household",34.3602790299245
"121","9","2020","Caring for Non-Household",10.9055808983929
"122","9","2020","Education",34.5617426010684
"123","9","2020","Eating and Drinking",62.5903918145237
"124","9","2020","Civic Duties",0.138774558487894
"125","9","2020","Household Activities",111.840996992573
"126","9","2020","Household Services",0.528767491617102
"127","9","2020","Personal Care",579.859945709337
"128","9","2020","Phone Calls",7.95622721811995
"129","9","2020","Care Services",4.89348905709373
"130","9","2020","Consumer Purchasing",17.794624946086
"131","9","2020","Religious/Spiritual Activities",5.03345541097082
"132","9","2020","Socializing and Leisure",276.165620932888
"133","9","2020","Sports and Exercise",21.3899533275133
"134","9","2020","Traveling",53.0283494849336
"135","9","2020","Volunteering",5.76273657251728
"136","9","2020","Work",200.886092723328
"137","10","2020","Caring for Household",29.014062069502
"138","10","2020","Caring for Non-Household",11.2821775887169
"139","10","2020","Education",37.9751387552646
"140","10","2020","Eating and Drinking",60.0262460125209
"141","10","2020","Civic Duties",0.319678154732008
"142","10","2020","Household Activities",113.61401383031
"143","10","2020","Household Services",0.615100566905296
"144","10","2020","Personal Care",576.981230342505
"145","10","2020","Phone Calls",10.071805877162
"146","10","2020","Care Services",6.18982471713163
"147","10","2020","Consumer Purchasing",15.3299099745143
"148","10","2020","Religious/Spiritual Activities",5.82790099745115
"149","10","2020","Socializing and Leisure",304.005583172237
"150","10","2020","Sports and Exercise",19.8357186383894
"151","10","2020","Traveling",47.6860623240919
"152","10","2020","Volunteering",6.22585177057525
"153","10","2020","Work",183.007746848107
"154","11","2020","Caring for Household",28.1866242497496
"155","11","2020","Caring for Non-Household",7.97588460117203
"156","11","2020","Education",36.1640239963009
"157","11","2020","Eating and Drinking",59.736587836303
"158","11","2020","Civic Duties",0.120552761762012
"159","11","2020","Household Activities",121.000647120941
"160","11","2020","Household Services",0.940359778105107
"161","11","2020","Personal Care",580.23546658133
"162","11","2020","Phone Calls",13.5135109946477
"163","11","2020","Care Services",5.7948992567021
"164","11","2020","Consumer Purchasing",21.1519773347048
"165","11","2020","Religious/Spiritual Activities",7.11434261936131
"166","11","2020","Socializing and Leisure",296.292723126781
"167","11","2020","Sports and Exercise",18.3784986062976
"168","11","2020","Traveling",47.9092394344728
"169","11","2020","Volunteering",4.76327114506659
"170","11","2020","Work",180.170785756574
"171","12","2020","Caring for Household",22.7799465330456
"172","12","2020","Caring for Non-Household",5.83654161851844
"173","12","2020","Education",29.7528936729392
"174","12","2020","Eating and Drinking",63.7954055919124
"175","12","2020","Civic Duties",0.189335082517993
"176","12","2020","Household Activities",126.981220265893
"177","12","2020","Household Services",0.943195145866817
"178","12","2020","Personal Care",580.53153478115
"179","12","2020","Phone Calls",11.2518673311385
"180","12","2020","Care Services",6.40385554211351
"181","12","2020","Consumer Purchasing",18.4346682407744
"182","12","2020","Religious/Spiritual Activities",4.33755220063033
"183","12","2020","Socializing and Leisure",323.113211192305
"184","12","2020","Sports and Exercise",12.2688231647418
"185","12","2020","Traveling",45.3112973733738
"186","12","2020","Volunteering",5.1336122173395
"187","12","2020","Work",172.48315508504
"188","1","2019","Caring for Household",21.6252933944571
"189","1","2021","Caring for Household",25.5392050761609
"190","1","2019","Caring for Non-Household",5.87441487151348
"191","1","2021","Caring for Non-Household",5.97185295171778
"192","1","2019","Education",34.8463429072379
"193","1","2021","Education",37.2920848426139
"194","1","2019","Eating and Drinking",63.8710766733274
"195","1","2021","Eating and Drinking",63.2263152263631
"196","1","2019","Civic Duties",0.328490240074047
"197","1","2021","Civic Duties",0.435553789768146
"198","1","2019","Household Activities",97.2686377290784
"199","1","2021","Household Activities",109.44460038664
"200","1","2019","Household Services",0.390059800862007
"201","1","2021","Household Services",0.542615961898887
"202","1","2019","Personal Care",581.090422184727
"203","1","2021","Personal Care",592.546291981711
"204","1","2019","Phone Calls",6.98275227913471
"205","1","2021","Phone Calls",12.2677713924422
"206","1","2019","Care Services",5.65851953104129
"207","1","2021","Care Services",5.84400273137219
"208","1","2019","Consumer Purchasing",18.4765014305266
"209","1","2021","Consumer Purchasing",15.8151508576431
"210","1","2019","Religious/Spiritual Activities",11.4239658496934
"211","1","2021","Religious/Spiritual Activities",7.6138043785617
"212","1","2019","Socializing and Leisure",277.034334703064
"213","1","2021","Socializing and Leisure",306.765654778359
"214","1","2019","Sports and Exercise",15.6047353402734
"215","1","2021","Sports and Exercise",14.1367989818979
"216","1","2019","Traveling",70.3175154691803
"217","1","2021","Traveling",45.0286762617157
"218","1","2019","Volunteering",6.97147995107005
"219","1","2021","Volunteering",5.72795153970168
"220","1","2019","Work",209.322884708616
"221","1","2021","Work",182.561693815775
"222","2","2019","Caring for Household",26.2666541591801
"223","2","2021","Caring for Household",23.9716637063129
"224","2","2019","Caring for Non-Household",10.6090963910472
"225","2","2021","Caring for Non-Household",6.64601301420887
"226","2","2019","Education",34.3982188913162
"227","2","2021","Education",30.7175862855613
"228","2","2019","Eating and Drinking",65.3492826318631
"229","2","2021","Eating and Drinking",67.6596228419806
"230","2","2019","Civic Duties",0.535514536167422
"231","2","2021","Civic Duties",0.0106676994440313
"232","2","2019","Household Activities",100.148281116195
"233","2","2021","Household Activities",112.163791171443
"234","2","2019","Household Services",1.3646476634576
"235","2","2021","Household Services",0.547754790521336
"236","2","2019","Personal Care",574.085738379235
"237","2","2021","Personal Care",596.33381447101
"238","2","2019","Phone Calls",5.78475769703154
"239","2","2021","Phone Calls",11.2749426841018
"240","2","2019","Care Services",5.67245088344162
"241","2","2021","Care Services",4.04611342390619
"242","2","2019","Consumer Purchasing",19.3800570492836
"243","2","2021","Consumer Purchasing",14.4420564547762
"244","2","2019","Religious/Spiritual Activities",8.28634634461084
"245","2","2021","Religious/Spiritual Activities",4.96216789219722
"246","2","2019","Socializing and Leisure",279.994287054562
"247","2","2021","Socializing and Leisure",285.664131090486
"248","2","2019","Sports and Exercise",18.3804616674596
"249","2","2021","Sports and Exercise",20.8178223072979
"250","2","2019","Traveling",64.1039140011433
"251","2","2021","Traveling",43.8409778802574
"252","2","2019","Volunteering",6.31939545581139
"253","2","2021","Volunteering",3.45780632846881
"254","2","2019","Work",203.695630153472
"255","2","2021","Work",204.235068428964
"256","3","2019","Caring for Household",24.696886881184
"257","3","2021","Caring for Household",26.8648676617725
"258","3","2019","Caring for Non-Household",6.55725419021452
"259","3","2021","Caring for Non-Household",6.31487038701191
"260","3","2019","Education",33.0876772596189
"261","3","2021","Education",30.951377097433
"262","3","2019","Eating and Drinking",66.1432136311121
"263","3","2021","Eating and Drinking",63.281381245932
"264","3","2019","Civic Duties",0.445330021205228
"265","3","2021","Civic Duties",0.36713848171891
"266","3","2019","Household Activities",96.7589537852128
"267","3","2021","Household Activities",106.18177819403
"268","3","2019","Household Services",0.317505163300498
"269","3","2021","Household Services",1.10999936523723
"270","3","2019","Personal Care",575.395440065876
"271","3","2021","Personal Care",576.714728243805
"272","3","2019","Phone Calls",7.6038469333457
"273","3","2021","Phone Calls",6.70973356167989
"274","3","2019","Care Services",7.02153306219819
"275","3","2021","Care Services",5.76256158692786
"276","3","2019","Consumer Purchasing",20.6205565091043
"277","3","2021","Consumer Purchasing",15.8779254274339
"278","3","2019","Religious/Spiritual Activities",8.04814828733868
"279","3","2021","Religious/Spiritual Activities",7.51640040858286
"280","3","2019","Socializing and Leisure",276.907170273402
"281","3","2021","Socializing and Leisure",286.649381797458
"282","3","2019","Sports and Exercise",17.0983749942344
"283","3","2021","Sports and Exercise",21.0994535133726
"284","3","2019","Traveling",72.2074107481454
"285","3","2021","Traveling",49.693590238708
"286","3","2019","Volunteering",8.68669368377854
"287","3","2021","Volunteering",4.61828421177132
"288","3","2019","Work",202.548855900182
"289","3","2021","Work",221.400009046283
"290","4","2019","Caring for Household",23.0224828744694
"291","4","2021","Caring for Household",22.7602719440189
"292","4","2019","Caring for Non-Household",6.50084640701799
"293","4","2021","Caring for Non-Household",7.57807876105548
"294","4","2019","Education",27.1487502688813
"295","4","2021","Education",31.4553837843014
"296","4","2019","Eating and Drinking",61.4147208595229
"297","4","2021","Eating and Drinking",66.6614929697851
"298","4","2019","Civic Duties",0.669562458497048
"299","4","2021","Civic Duties",0.122979078515584
"300","4","2019","Household Activities",109.625523369111
"301","4","2021","Household Activities",115.869892612033
"302","4","2019","Household Services",1.3727597031572
"303","4","2021","Household Services",1.05307729100818
"304","4","2019","Personal Care",566.996307495193
"305","4","2021","Personal Care",575.311011824593
"306","4","2019","Phone Calls",6.86191871757333
"307","4","2021","Phone Calls",12.9839950414016
"308","4","2019","Care Services",4.25958295463942
"309","4","2021","Care Services",4.50348413195843
"310","4","2019","Consumer Purchasing",22.4659293861652
"311","4","2021","Consumer Purchasing",21.11614607571
"312","4","2019","Religious/Spiritual Activities",8.17289657648653
"313","4","2021","Religious/Spiritual Activities",6.02152527653411
"314","4","2019","Socializing and Leisure",266.008491206951
"315","4","2021","Socializing and Leisure",284.906146707368
"316","4","2019","Sports and Exercise",18.8897720180715
"317","4","2021","Sports and Exercise",24.5262748496705
"318","4","2019","Traveling",80.9248934928798
"319","4","2021","Traveling",51.85613243628
"320","4","2019","Volunteering",8.79303314906545
"321","4","2021","Volunteering",6.78702684898303
"322","4","2019","Work",215.817699335584
"323","4","2021","Work",197.593763130201
"324","5","2019","Caring for Household",27.2346399977022
"325","5","2021","Caring for Household",26.6011380235075
"326","5","2019","Caring for Non-Household",8.92681500110465
"327","5","2021","Caring for Non-Household",13.8568894811337
"328","5","2019","Education",27.7660139912233
"329","5","2021","Education",8.56760665448893
"330","5","2019","Eating and Drinking",59.4883277644087
"331","5","2021","Eating and Drinking",67.9242487804696
"332","5","2019","Civic Duties",0.00214459662281044
"333","5","2021","Civic Duties",0.156193905862329
"334","5","2019","Household Activities",105.540457912494
"335","5","2021","Household Activities",127.593971192887
"336","5","2019","Household Services",0.875082880504828
"337","5","2021","Household Services",1.29519038674324
"338","5","2019","Personal Care",570.844240830922
"339","5","2021","Personal Care",570.889694143892
"340","5","2019","Phone Calls",6.21012458062726
"341","5","2021","Phone Calls",9.23042530730589
"342","5","2019","Care Services",5.14537900317715
"343","5","2021","Care Services",4.58699674398022
"344","5","2019","Consumer Purchasing",20.4507728284605
"345","5","2021","Consumer Purchasing",21.5779147093921
"346","5","2019","Religious/Spiritual Activities",7.06066658248394
"347","5","2021","Religious/Spiritual Activities",5.53756355051946
"348","5","2019","Socializing and Leisure",268.13104201645
"349","5","2021","Socializing and Leisure",299.014051505029
"350","5","2019","Sports and Exercise",19.4816775248597
"351","5","2021","Sports and Exercise",24.3896638155143
"352","5","2019","Traveling",78.3260820021561
"353","5","2021","Traveling",55.753775502099
"354","5","2019","Volunteering",4.63810935234237
"355","5","2021","Volunteering",6.06641387487539
"356","5","2019","Work",217.992880464842
"357","5","2021","Work",189.393065248131
"358","6","2019","Caring for Household",23.1048883595727
"359","6","2021","Caring for Household",25.432079942554
"360","6","2019","Caring for Non-Household",9.48445749906792
"361","6","2021","Caring for Non-Household",11.4115889511398
"362","6","2019","Education",10.7577515114416
"363","6","2021","Education",10.3795355784159
"364","6","2019","Eating and Drinking",63.1760769211591
"365","6","2021","Eating and Drinking",66.8690657309393
"366","6","2019","Civic Duties",0.129644025102453
"367","6","2021","Civic Duties",0
"368","6","2019","Household Activities",108.48415323115
"369","6","2021","Household Activities",125.912605286445
"370","6","2019","Household Services",1.37505380192654
"371","6","2021","Household Services",1.69585768503723
"372","6","2019","Personal Care",583.313814353887
"373","6","2021","Personal Care",574.230861781873
"374","6","2019","Phone Calls",6.42908613824102
"375","6","2021","Phone Calls",10.1396605296885
"376","6","2019","Care Services",5.57063736040545
"377","6","2021","Care Services",6.91185404019597
"378","6","2019","Consumer Purchasing",23.1106277438988
"379","6","2021","Consumer Purchasing",17.910130011301
"380","6","2019","Religious/Spiritual Activities",9.9699246555926
"381","6","2021","Religious/Spiritual Activities",4.86262170346987
"382","6","2019","Socializing and Leisure",292.08110939779
"383","6","2021","Socializing and Leisure",282.644918038249
"384","6","2019","Sports and Exercise",24.5220862357941
"385","6","2021","Sports and Exercise",29.6218774961794
"386","6","2019","Traveling",77.0816115521793
"387","6","2021","Traveling",62.1304986111406
"388","6","2019","Volunteering",8.52922761619718
"389","6","2021","Volunteering",6.17713263552183
"390","6","2019","Work",179.674884620483
"391","6","2021","Work",195.66681237639
"392","7","2019","Caring for Household",18.9834618414842
"393","7","2021","Caring for Household",23.1424902001661
"394","7","2019","Caring for Non-Household",10.9670479562301
"395","7","2021","Caring for Non-Household",4.21577086462439
"396","7","2019","Education",6.240527028838
"397","7","2021","Education",7.23412588966751
"398","7","2019","Eating and Drinking",64.2884228995948
"399","7","2021","Eating and Drinking",69.9983435792325
"400","7","2019","Civic Duties",0.413848987394535
"401","7","2021","Civic Duties",0.113108690665722
"402","7","2019","Household Activities",104.331407665672
"403","7","2021","Household Activities",119.905974217978
"404","7","2019","Household Services",0.963421648664101
"405","7","2021","Household Services",1.03336726551606
"406","7","2019","Personal Care",584.866073829242
"407","7","2021","Personal Care",583.819377494756
"408","7","2019","Phone Calls",7.12369359328676
"409","7","2021","Phone Calls",7.434809607172
"410","7","2019","Care Services",5.50048374528831
"411","7","2021","Care Services",4.35031424286181
"412","7","2019","Consumer Purchasing",20.3923949549428
"413","7","2021","Consumer Purchasing",16.7263570688984
"414","7","2019","Religious/Spiritual Activities",6.97445385971783
"415","7","2021","Religious/Spiritual Activities",6.90530301062057
"416","7","2019","Socializing and Leisure",292.340196126338
"417","7","2021","Socializing and Leisure",312.05118854764
"418","7","2019","Sports and Exercise",22.0982703191155
"419","7","2021","Sports and Exercise",21.8836751422905
"420","7","2019","Traveling",79.9827324201766
"421","7","2021","Traveling",61.9166367801104
"422","7","2019","Volunteering",10.3978009538893
"423","7","2021","Volunteering",3.45989277774722
"424","7","2019","Work",196.055321509197
"425","7","2021","Work",187.937604634196
"426","8","2019","Caring for Household",28.2663810733291
"427","8","2021","Caring for Household",23.1436924712802
"428","8","2019","Caring for Non-Household",8.01148966533168
"429","8","2021","Caring for Non-Household",12.2616091510773
"430","8","2019","Education",16.9410770962058
"431","8","2021","Education",9.17805855422782
"432","8","2019","Eating and Drinking",67.2133602686484
"433","8","2021","Eating and Drinking",67.2640717489572
"434","8","2019","Civic Duties",0.197623628887899
"435","8","2021","Civic Duties",0.00943219348644888
"436","8","2019","Household Activities",119.54321166134
"437","8","2021","Household Activities",120.219091917562
"438","8","2019","Household Services",0.573723423451643
"439","8","2021","Household Services",1.03721836002738
"440","8","2019","Personal Care",576.837442467716
"441","8","2021","Personal Care",577.56086933052
"442","8","2019","Phone Calls",6.68296660908124
"443","8","2021","Phone Calls",10.0380161471166
"444","8","2019","Care Services",5.13856093603014
"445","8","2021","Care Services",4.3266499494536
"446","8","2019","Consumer Purchasing",21.3310541173906
"447","8","2021","Consumer Purchasing",18.507808731836
"448","8","2019","Religious/Spiritual Activities",6.09723362050115
"449","8","2021","Religious/Spiritual Activities",8.9203371524044
"450","8","2019","Socializing and Leisure",268.134274916187
"451","8","2021","Socializing and Leisure",281.753124305011
"452","8","2019","Sports and Exercise",29.2778287464617
"453","8","2021","Sports and Exercise",19.5952437941051
"454","8","2019","Traveling",70.7112463996204
"455","8","2021","Traveling",60.9629612527143
"456","8","2019","Volunteering",8.04320927624156
"457","8","2021","Volunteering",5.88589892864625
"458","8","2019","Work",194.940498109322
"459","8","2021","Work",209.029206875977
"460","9","2019","Caring for Household",24.8222354056191
"461","9","2021","Caring for Household",22.6705481240778
"462","9","2019","Caring for Non-Household",8.62181029297451
"463","9","2021","Caring for Non-Household",8.36275448020059
"464","9","2019","Education",23.7243003220681
"465","9","2021","Education",33.896931765203
"466","9","2019","Eating and Drinking",63.0393741692852
"467","9","2021","Eating and Drinking",63.9506801397306
"468","9","2019","Civic Duties",0.051340365686734
"469","9","2021","Civic Duties",0.145319800989165
"470","9","2019","Household Activities",114.13617843928
"471","9","2021","Household Activities",111.124701640646
"472","9","2019","Household Services",0.571609305355931
"473","9","2021","Household Services",0.892533689981357
"474","9","2019","Personal Care",566.347151777708
"475","9","2021","Personal Care",574.067594129849
"476","9","2019","Phone Calls",6.72445887493081
"477","9","2021","Phone Calls",9.70687743887583
"478","9","2019","Care Services",5.21938094290712
"479","9","2021","Care Services",4.85411686619324
"480","9","2019","Consumer Purchasing",19.0042780990215
"481","9","2021","Consumer Purchasing",21.5406918810422
"482","9","2019","Religious/Spiritual Activities",8.20321308080194
"483","9","2021","Religious/Spiritual Activities",7.95710827462351
"484","9","2019","Socializing and Leisure",279.899764986877
"485","9","2021","Socializing and Leisure",269.361167448689
"486","9","2019","Sports and Exercise",21.1809410575733
"487","9","2021","Sports and Exercise",23.2364769405734
"488","9","2019","Traveling",69.9092624999749
"489","9","2021","Traveling",72.1502813237799
"490","9","2019","Volunteering",6.74410190756983
"491","9","2021","Volunteering",5.2215837531834
"492","9","2019","Work",211.383278204113
"493","9","2021","Work",199.649823196121
"494","10","2019","Caring for Household",29.859528169697
"495","10","2021","Caring for Household",27.7691849286328
"496","10","2019","Caring for Non-Household",4.6427165393775
"497","10","2021","Caring for Non-Household",8.73879270136899
"498","10","2019","Education",34.9294336683901
"499","10","2021","Education",36.3348001229454
"500","10","2019","Eating and Drinking",63.8981486559817
"501","10","2021","Eating and Drinking",64.0013140762822
"502","10","2019","Civic Duties",0.190351096909102
"503","10","2021","Civic Duties",0.138013829941026
"504","10","2019","Household Activities",102.854861218847
"505","10","2021","Household Activities",116.874586172245
"506","10","2019","Household Services",0.739488601998857
"507","10","2021","Household Services",0.599190238116772
"508","10","2019","Personal Care",571.531432501687
"509","10","2021","Personal Care",572.250307410934
"510","10","2019","Phone Calls",7.77852480216689
"511","10","2021","Phone Calls",7.52363391345694
"512","10","2019","Care Services",5.12550362563297
"513","10","2021","Care Services",4.94919937707462
"514","10","2019","Consumer Purchasing",17.1794868723621
"515","10","2021","Consumer Purchasing",19.4093677334027
"516","10","2019","Religious/Spiritual Activities",5.83843387595601
"517","10","2021","Religious/Spiritual Activities",9.52438027157285
"518","10","2019","Socializing and Leisure",264.776715101422
"519","10","2021","Socializing and Leisure",275.894358048677
"520","10","2019","Sports and Exercise",23.4994159834664
"521","10","2021","Sports and Exercise",13.8388955131086
"522","10","2019","Traveling",72.896458484212
"523","10","2021","Traveling",66.6646305070212
"524","10","2019","Volunteering",6.69126420159082
"525","10","2021","Volunteering",5.41412003615581
"526","10","2019","Work",212.538240307992
"527","10","2021","Work",201.226118778532
"528","11","2019","Caring for Household",26.3830266900735
"529","11","2021","Caring for Household",22.0860275720296
"530","11","2019","Caring for Non-Household",9.64854207571643
"531","11","2021","Caring for Non-Household",7.92744692132905
"532","11","2019","Education",31.5556474427426
"533","11","2021","Education",30.4651056150379
"534","11","2019","Eating and Drinking",64.0614078042375
"535","11","2021","Eating and Drinking",68.4559647835693
"536","11","2019","Civic Duties",0.373077188939231
"537","11","2021","Civic Duties",0
"538","11","2019","Household Activities",109.833037335376
"539","11","2021","Household Activities",122.1480173464
"540","11","2019","Household Services",0.916423913229401
"541","11","2021","Household Services",2.12317828148689
"542","11","2019","Personal Care",574.754518157773
"543","11","2021","Personal Care",582.967013893089
"544","11","2019","Phone Calls",5.48488830659159
"545","11","2021","Phone Calls",7.57142935528979
"546","11","2019","Care Services",5.00246445689591
"547","11","2021","Care Services",6.49985663157413
"548","11","2019","Consumer Purchasing",22.750117971191
"549","11","2021","Consumer Purchasing",25.163230177552
"550","11","2019","Religious/Spiritual Activities",8.99930160697609
"551","11","2021","Religious/Spiritual Activities",5.88277943546878
"552","11","2019","Socializing and Leisure",283.028684205357
"553","11","2021","Socializing and Leisure",272.983481771852
"554","11","2019","Sports and Exercise",18.5892868038123
"555","11","2021","Sports and Exercise",15.4233405611184
"556","11","2019","Traveling",71.3752298638511
"557","11","2021","Traveling",60.2994442144228
"558","11","2019","Volunteering",6.98794729761229
"559","11","2021","Volunteering",6.23750453835203
"560","11","2019","Work",184.315654013325
"561","11","2021","Work",194.625939463062
"562","12","2019","Caring for Household",23.3537140648383
"563","12","2021","Caring for Household",27.1465305496516
"564","12","2019","Caring for Non-Household",6.53821739029679
"565","12","2021","Caring for Non-Household",5.55659054929721
"566","12","2019","Education",32.4523271659857
"567","12","2021","Education",32.3541669302926
"568","12","2019","Eating and Drinking",62.1456033388305
"569","12","2021","Eating and Drinking",68.7612223038029
"570","12","2019","Civic Duties",0.0458504704810777
"571","12","2021","Civic Duties",0.0926107900757014
"572","12","2019","Household Activities",109.827521023405
"573","12","2021","Household Activities",110.716822280781
"574","12","2019","Household Services",1.17563248218259
"575","12","2021","Household Services",0.924706637662691
"576","12","2019","Personal Care",575.915365294208
"577","12","2021","Personal Care",587.430309210633
"578","12","2019","Phone Calls",5.55985961863691
"579","12","2021","Phone Calls",10.4070824851929
"580","12","2019","Care Services",5.97384960199815
"581","12","2021","Care Services",6.43174371695487
"582","12","2019","Consumer Purchasing",26.4483729943428
"583","12","2021","Consumer Purchasing",21.7898112367995
"584","12","2019","Religious/Spiritual Activities",8.48879826830706
"585","12","2021","Religious/Spiritual Activities",5.76590834807898
"586","12","2019","Socializing and Leisure",263.747126047191
"587","12","2021","Socializing and Leisure",264.184738610027
"588","12","2019","Sports and Exercise",13.4704201798111
"589","12","2021","Sports and Exercise",13.7198209893077
"590","12","2019","Traveling",69.0653613767101
"591","12","2021","Traveling",63.3227655005318
"592","12","2019","Volunteering",8.33044003570693
"593","12","2021","Volunteering",6.24846563466063
"594","12","2019","Work",207.182344626042
"595","12","2021","Work",205.493120673448
