"","DATE","ACTIVITY","mean","sd","n"
"64",2020-01-04,"Socializing and Leisure",367.056023758027,204.68505560207,48
"65",2020-01-04,"Sports and Exercise",8.52847307364524,32.7226393472053,48
"66",2020-01-04,"Traveling",52.382949920607,55.1132678308366,48
"67",2020-01-04,"Volunteering",26.9663629845829,77.430720574752,48
"68",2020-01-04,"Work",11.3488319342267,57.2350732310359,48
"69",2020-01-05,"Caring for Household",23.6953129776819,51.6864068150579,25
"70",2020-01-05,"Caring for Non-Household",3.41115626667835,29.5848719060065,25
"71",2020-01-05,"Education",7.25319810757829,27.1312746322023,25
"72",2020-01-05,"Eating and Drinking",66.933969640085,41.2304477370728,25
"73",2020-01-05,"Civic Duties",0,0,25
"74",2020-01-05,"Household Activities",64.6889437811556,75.8796956153383,25
"75",2020-01-05,"Household Services",1.26040064146303,8.60438428949235,25
"76",2020-01-05,"Personal Care",557.11615304086,110.900132430444,25
"77",2020-01-05,"Phone Calls",6.43266244253205,22.9422792044663,25
"78",2020-01-05,"Care Services",22.9984344074622,78.3620955377195,25
"79",2020-01-05,"Consumer Purchasing",5.39078937071306,10.1094853323175,25
"80",2020-01-05,"Religious/Spiritual Activities",3.60767239208675,10.0109851292967,25
"81",2020-01-05,"Socializing and Leisure",218.647015003219,190.683360841316,25
"82",2020-01-05,"Sports and Exercise",29.1888428718044,67.4603993298214,25
"83",2020-01-05,"Traveling",69.7888004128403,62.0721311708541,25
"84",2020-01-05,"Volunteering",1.5294541250208,7.87238427242519,25
"85",2020-01-05,"Work",336.065869225814,232.147674221816,25
"86",2020-01-06,"Caring for Household",42.8743250159934,90.8603028566489,29
"87",2020-01-06,"Caring for Non-Household",0.468664524037474,3.72025393244434,29
"88",2020-01-06,"Education",2.14968635737083,12.5142049601457,29
"89",2020-01-06,"Eating and Drinking",53.135214983719,34.0219909856586,29
"90",2020-01-06,"Civic Duties",1.62713514416485,12.9692567947275,29
"91",2020-01-06,"Household Activities",91.9802577399611,91.1432317980405,29
"92",2020-01-06,"Household Services",1.0168537091609,5.24733782354997,29
"93",2020-01-06,"Personal Care",560.257975231786,132.054554066917,29
"94",2020-01-06,"Phone Calls",8.11548763928944,34.3134686268165,29
"95",2020-01-06,"Care Services",9.84137258601059,39.713210263586,29
"96",2020-01-06,"Consumer Purchasing",10.5297548094715,26.949006633357,29
"97",2020-01-06,"Religious/Spiritual Activities",2.41537823849366,6.62697764125996,29
"98",2020-01-06,"Socializing and Leisure",281.302572586471,180.004233214785,29
"99",2020-01-06,"Sports and Exercise",3.83357440395741,18.9071347583269,29
"100",2020-01-06,"Traveling",54.1613324317078,40.1943445932485,29
"101",2020-01-06,"Volunteering",6.66792285267794,21.7778918753075,29
"102",2020-01-06,"Work",292.286780695657,267.983527741733,29
"103",2020-01-07,"Caring for Household",48.8833682422068,86.2598840741889,26
"104",2020-01-07,"Caring for Non-Household",1.09101151618433,3.46508671963842,26
"105",2020-01-07,"Education",1.71867576227271,6.97183093912614,26
"106",2020-01-07,"Eating and Drinking",64.7093762762495,45.8429620964322,26
"107",2020-01-07,"Civic Duties",0,0,26
"108",2020-01-07,"Household Activities",108.647588959532,124.253272751057,26
"109",2020-01-07,"Household Services",0.572891920757571,2.32394364637538,26
"110",2020-01-07,"Personal Care",562.483506431485,118.698045051368,26
"111",2020-01-07,"Phone Calls",3.88356050078874,16.903538373468,26
"112",2020-01-07,"Care Services",4.73133302745914,14.9272993362409,26
"113",2020-01-07,"Consumer Purchasing",40.8157258542199,81.5729447867246,26
"114",2020-01-07,"Religious/Spiritual Activities",0,0,26
"115",2020-01-07,"Socializing and Leisure",230.37182961464,159.846971787614,26
"116",2020-01-07,"Sports and Exercise",29.0777349929385,53.24670089147,26
"117",2020-01-07,"Traveling",78.1169457609713,70.4370846089933,26
"118",2020-01-07,"Volunteering",1.84105693447322,15.65736875345,26
"119",2020-01-07,"Work",241.977142774791,243.947751613063,26
"120",2020-01-08,"Caring for Household",31.2713737009469,49.0623563351294,23
"121",2020-01-08,"Caring for Non-Household",2.32042296552472,8.35469433186421,23
"122",2020-01-08,"Education",12.9347983772449,72.5624305444715,23
"123",2020-01-08,"Eating and Drinking",63.015183673066,25.4029877153093,23
"124",2020-01-08,"Civic Duties",0,0,23
"125",2020-01-08,"Household Activities",103.639389881188,111.192501715675,23
"126",2020-01-08,"Household Services",0,0,23
"127",2020-01-08,"Personal Care",579.454964581009,100.19973498439,23
"128",2020-01-08,"Phone Calls",4.4269500081299,17.9848586622187,23
"129",2020-01-08,"Care Services",9.47634081253925,22.0169774151494,23
"130",2020-01-08,"Consumer Purchasing",19.7005526314586,48.7216500215184,23
"131",2020-01-08,"Religious/Spiritual Activities",2.12483415872325,11.0894152109838,23
"132",2020-01-08,"Socializing and Leisure",245.286627810819,199.530980152676,23
"133",2020-01-08,"Sports and Exercise",11.5470427384425,26.4098609608205,23
"134",2020-01-08,"Traveling",55.6186442262023,49.0504473771773,23
"135",2020-01-08,"Volunteering",0,0,23
"136",2020-01-08,"Work",292.170922150862,242.142737572469,23
"137",2020-01-09,"Caring for Household",29.1023805296438,64.6443869226366,27
"138",2020-01-09,"Caring for Non-Household",1.81185541466758,4.57929878302888,27
"139",2020-01-09,"Education",0,0,27
"140",2020-01-09,"Eating and Drinking",66.2058503176774,43.0717014466665,27
"141",2020-01-09,"Civic Duties",0,0,27
"142",2020-01-09,"Household Activities",77.8854557604204,90.8242235290389,27
"143",2020-01-09,"Household Services",0.41595267825078,4.30637364027475,27
"144",2020-01-09,"Personal Care",544.110734376709,131.224647071606,27
"145",2020-01-09,"Phone Calls",1.79611103021342,5.92593435979401,27
"146",2020-01-09,"Care Services",1.1723576521398,8.04552178990987,27
"147",2020-01-09,"Consumer Purchasing",4.80497084479717,11.4272062310519,27
"148",2020-01-09,"Religious/Spiritual Activities",0,0,27
"149",2020-01-09,"Socializing and Leisure",197.454038125569,149.395830009689,27
"150",2020-01-09,"Sports and Exercise",2.17677848005288,10.2927200835139,27
"151",2020-01-09,"Traveling",82.2380118657916,98.6698636103064,27
"152",2020-01-09,"Volunteering",6.66959168704889,18.3537364546196,27
"153",2020-01-09,"Work",408.829079229813,210.668741783338,27
"154",2020-01-10,"Caring for Household",23.7704692478696,78.5100564567003,49
"155",2020-01-10,"Caring for Non-Household",8.01578215235955,29.2428342879339,49
"156",2020-01-10,"Education",36.3542656638555,135.344976179077,49
"157",2020-01-10,"Eating and Drinking",71.4772192694171,38.3188083216926,49
"158",2020-01-10,"Civic Duties",0,0,49
"159",2020-01-10,"Household Activities",109.063942815901,114.901351101475,49
"160",2020-01-10,"Household Services",0.56174791689043,4.06655589537904,49
"161",2020-01-10,"Personal Care",606.056034053585,145.307045548094,49
"162",2020-01-10,"Phone Calls",3.2095219550544,18.2126155377635,49
"163",2020-01-10,"Care Services",9.4948284094576,29.060849167764,49
"164",2020-01-10,"Consumer Purchasing",29.9819836696667,45.6452661082247,49
"165",2020-01-10,"Religious/Spiritual Activities",6.38979986372916,22.1298765695868,49
"166",2020-01-10,"Socializing and Leisure",243.720218183385,175.044009712869,49
"167",2020-01-10,"Sports and Exercise",38.3736609296915,63.5539085734115,49
"168",2020-01-10,"Traveling",56.5022102355275,63.5807552179591,49
"169",2020-01-10,"Volunteering",1.77528282618366,7.32353658803587,49
"170",2020-01-10,"Work",171.917553355409,253.237117875764,49
"171",2020-01-11,"Caring for Household",26.9225614843167,79.4244597129604,55
"172",2020-01-11,"Caring for Non-Household",3.47842339167219,10.032417499058,55
"173",2020-01-11,"Education",3.03496287446633,33.3725226472011,55
"174",2020-01-11,"Eating and Drinking",61.4307950524556,47.7411392774304,55
"175",2020-01-11,"Civic Duties",0,0,55
"176",2020-01-11,"Household Activities",137.315635413751,218.80835259482,55
"177",2020-01-11,"Household Services",0.265281983762636,2.56157667976957,55
"178",2020-01-11,"Personal Care",622.736276501289,167.101758770025,55
"179",2020-01-11,"Phone Calls",3.80214347533468,18.0144973368414,55
"180",2020-01-11,"Care Services",2.63552495828923,15.552022334174,55
"181",2020-01-11,"Consumer Purchasing",24.870409675275,41.7951598981406,55
"182",2020-01-11,"Religious/Spiritual Activities",27.1556810298112,51.0140769443089,55
"183",2020-01-11,"Socializing and Leisure",395.830258285713,222.452483112954,55
"184",2020-01-11,"Sports and Exercise",20.4957700950697,46.9075487140205,55
"185",2020-01-11,"Traveling",52.4258367650376,56.4570995678213,55
"186",2020-01-11,"Volunteering",5.97266065136023,23.9087799158843,55
"187",2020-01-11,"Work",31.1249754441098,116.791112362189,55
"188",2020-01-12,"Caring for Household",28.8034466658065,65.7594327622545,20
"189",2020-01-12,"Caring for Non-Household",8.37325441431044,22.8131624451572,20
"190",2020-01-12,"Education",0,0,20
"191",2020-01-12,"Eating and Drinking",48.3223063446521,35.6022597390803,20
"192",2020-01-12,"Civic Duties",0,0,20
"193",2020-01-12,"Household Activities",55.3694004415839,72.1956226933474,20
"194",2020-01-12,"Household Services",0,0,20
"195",2020-01-12,"Personal Care",542.369794866627,148.639005528802,20
"196",2020-01-12,"Phone Calls",2.20004672241354,7.30819060805673,20
"197",2020-01-12,"Care Services",35.193557704066,127.259537634623,20
"198",2020-01-12,"Consumer Purchasing",5.91583764058852,12.3060711443722,20
"199",2020-01-12,"Religious/Spiritual Activities",20.379496174382,79.7528926701357,20
"200",2020-01-12,"Socializing and Leisure",221.547999152581,218.755228587929,20
"201",2020-01-12,"Sports and Exercise",8.61070225564346,29.6662625357922,20
"202",2020-01-12,"Traveling",71.0590989382727,46.3741129044945,20
"203",2020-01-12,"Volunteering",0.357218821351398,1.85595876612458,20
"204",2020-01-12,"Work",377.140658331875,290.993403479361,20
"205",2020-01-13,"Caring for Household",20.2140767127623,42.3626210696637,32
"206",2020-01-13,"Caring for Non-Household",0.485022567181246,2.14825016970115,32
"207",2020-01-13,"Education",38.1347941505553,125.918954453493,32
"208",2020-01-13,"Eating and Drinking",42.0633111783109,28.3888323058594,32
"209",2020-01-13,"Civic Duties",0,0,32
"210",2020-01-13,"Household Activities",101.576759030073,131.672594706946,32
"211",2020-01-13,"Household Services",1.35087331976871,6.22104018271178,32
"212",2020-01-13,"Personal Care",578.243804375225,151.620762205657,32
"213",2020-01-13,"Phone Calls",3.81614287364517,13.1622600760487,32
"214",2020-01-13,"Care Services",21.6486823451855,60.5564977734238,32
"215",2020-01-13,"Consumer Purchasing",15.5028487840964,25.7697615210469,32
"216",2020-01-13,"Religious/Spiritual Activities",4.49148009827563,25.3987419277325,32
"217",2020-01-13,"Socializing and Leisure",323.000135651379,208.309215467046,32
"218",2020-01-13,"Sports and Exercise",6.30550468068833,25.4803908674549,32
"219",2020-01-13,"Traveling",49.1116848683718,42.9054635900602,32
"220",2020-01-13,"Volunteering",0,0,32
"221",2020-01-13,"Work",216.596416083817,282.988543530555,32
"222",2020-01-14,"Caring for Household",12.07457995355,20.5889532564829,14
"223",2020-01-14,"Caring for Non-Household",0.195110284347017,0.968237265821502,14
"224",2020-01-14,"Education",95.2563849443226,192.010436881685,14
"225",2020-01-14,"Eating and Drinking",52.5940721495765,37.3953542048111,14
"226",2020-01-14,"Civic Duties",0,0,14
"227",2020-01-14,"Household Activities",115.554989699521,124.571174496529,14
"228",2020-01-14,"Household Services",0.776826637862887,3.86433347417591,14
"229",2020-01-14,"Personal Care",635.801449090794,89.1207521092938,14
"230",2020-01-14,"Phone Calls",1.03236789659476,5.46856960817402,14
"231",2020-01-14,"Care Services",3.5703600866798,12.1621845662018,14
"232",2020-01-14,"Consumer Purchasing",9.09582477131388,20.7656413543681,14
"233",2020-01-14,"Religious/Spiritual Activities",12.3080989538837,32.2038148469734,14
"234",2020-01-14,"Socializing and Leisure",315.10082577825,145.055191817968,14
"235",2020-01-14,"Sports and Exercise",0.596904758661001,2.6223392151235,14
"236",2020-01-14,"Traveling",47.376867832868,38.3745023355875,14
"237",2020-01-14,"Volunteering",5.49215013703055,22.1718414237058,14
"238",2020-01-14,"Work",122.474181907558,217.128161571032,14
"239",2020-01-15,"Caring for Household",23.7900181612808,57.2252611347117,20
"240",2020-01-15,"Caring for Non-Household",0.84693488917898,6.11512644424858,20
"241",2020-01-15,"Education",1.16836306334354,4.69064911192703,20
"242",2020-01-15,"Eating and Drinking",41.4039295057082,32.3924234741067,20
"243",2020-01-15,"Civic Duties",5.75505369663407,21.3555361126335,20
"244",2020-01-15,"Household Activities",109.623066392995,152.926869415521,20
"245",2020-01-15,"Household Services",1.73235321107371,4.98752095206712,20
"246",2020-01-15,"Personal Care",578.076034328205,131.121150455902,20
"247",2020-01-15,"Phone Calls",2.16438916123517,15.6275453575242,20
"248",2020-01-15,"Care Services",15.017824277988,27.2205223156244,20
"249",2020-01-15,"Consumer Purchasing",13.4370024787267,26.3774839689658,20
"250",2020-01-15,"Religious/Spiritual Activities",2.25849303781061,16.3070038513296,20
"251",2020-01-15,"Socializing and Leisure",186.893494337624,225.42845440369,20
"252",2020-01-15,"Sports and Exercise",29.7165599978878,91.3966788398174,20
"253",2020-01-15,"Traveling",71.1776227290551,47.6960582677297,20
"254",2020-01-15,"Volunteering",2.6807011652086,12.5529622225567,20
"255",2020-01-15,"Work",334.061462152162,298.681748100813,20
"256",2020-01-16,"Caring for Household",14.7295957676696,60.5312046688562,18
"257",2020-01-16,"Caring for Non-Household",3.58787093346629,19.399104437693,18
"258",2020-01-16,"Education",14.4692196247257,64.2760265159605,18
"259",2020-01-16,"Eating and Drinking",46.9752292052707,45.39751275981,18
"260",2020-01-16,"Civic Duties",0,0,18
"261",2020-01-16,"Household Activities",56.1012709921376,73.1914911417748,18
"262",2020-01-16,"Household Services",1.69287918598245,15.3015439378493,18
"263",2020-01-16,"Personal Care",574.323134266759,104.833226971092,18
"264",2020-01-16,"Phone Calls",11.2795463145247,42.0781278611132,18
"265",2020-01-16,"Care Services",1.63852827636969,7.77687451450087,18
"266",2020-01-16,"Consumer Purchasing",8.73866377899695,21.8637515176284,18
"267",2020-01-16,"Religious/Spiritual Activities",9.35025711197275,25.5458455939004,18
"268",2020-01-16,"Socializing and Leisure",329.605847156246,249.75192328117,18
"269",2020-01-16,"Sports and Exercise",10.6823849720959,34.35366439696,18
"270",2020-01-16,"Traveling",48.8620089847562,60.3237744508424,18
"271",2020-01-16,"Volunteering",2.17655895340601,19.6734136343776,18
"272",2020-01-16,"Work",302.621619037776,317.060507264297,18
"273",2020-01-17,"Caring for Household",21.1073354449344,62.6852654689844,52
"274",2020-01-17,"Caring for Non-Household",1.1771946318141,4.96392715784907,52
"275",2020-01-17,"Education",0,0,52
"276",2020-01-17,"Eating and Drinking",63.241754505046,52.8475123792149,52
"277",2020-01-17,"Civic Duties",0,0,52
"278",2020-01-17,"Household Activities",153.022052674069,176.948296635183,52
"279",2020-01-17,"Household Services",1.24397648176637,7.60010882492081,52
"280",2020-01-17,"Personal Care",562.59100295715,111.050390006387,52
"281",2020-01-17,"Phone Calls",0.974985746621121,6.30925278707868,52
"282",2020-01-17,"Care Services",10.1556986620016,56.8937995718185,52
"283",2020-01-17,"Consumer Purchasing",20.9902040263339,38.236683949855,52
"284",2020-01-17,"Religious/Spiritual Activities",13.617853437821,45.1261399816298,52
"285",2020-01-17,"Socializing and Leisure",461.59657381837,193.790092195902,52
"286",2020-01-17,"Sports and Exercise",25.9115476301081,68.372295874114,52
"287",2020-01-17,"Traveling",50.0959536535718,67.949510777466,52
"288",2020-01-17,"Volunteering",8.97047947583322,43.8083962619284,52
"289",2020-01-17,"Work",37.1962987384664,118.290997830807,52
"290",2020-01-18,"Caring for Household",13.8099148480684,29.4763995231042,37
"291",2020-01-18,"Caring for Non-Household",10.2970156982767,62.3695768930733,37
"292",2020-01-18,"Education",2.54971983369441,12.1029797752507,37
"293",2020-01-18,"Eating and Drinking",58.1420997347754,44.8596527639246,37
"294",2020-01-18,"Civic Duties",0,0,37
"295",2020-01-18,"Household Activities",153.922695276246,189.265353696068,37
"296",2020-01-18,"Household Services",0,0,37
"297",2020-01-18,"Personal Care",592.964290652972,130.523381302801,37
"298",2020-01-18,"Phone Calls",1.05124380683191,4.31105656824532,37
"299",2020-01-18,"Care Services",0.0678561123174229,0.362088073866998,37
"300",2020-01-18,"Consumer Purchasing",9.27868966183058,33.6283931802839,37
"301",2020-01-18,"Religious/Spiritual Activities",16.818188673495,37.4680788552255,37
"302",2020-01-18,"Socializing and Leisure",384.602869244234,228.949599065743,37
"303",2020-01-18,"Sports and Exercise",23.8215005916998,43.6148573526905,37
"304",2020-01-18,"Traveling",29.7111095730411,34.9392438601327,37
"305",2020-01-18,"Volunteering",57.5304241104902,133.279237357569,37
"306",2020-01-18,"Work",75.7109428577816,198.023364388102,37
"307",2020-01-19,"Caring for Household",43.3141210139088,82.4756581619659,16
"308",2020-01-19,"Caring for Non-Household",0,0,16
"309",2020-01-19,"Education",67.9180265806155,133.886810549358,16
"310",2020-01-19,"Eating and Drinking",65.8729026002806,35.7204416583687,16
"311",2020-01-19,"Civic Duties",0,0,16
"312",2020-01-19,"Household Activities",89.543746098081,75.2581613064084,16
"313",2020-01-19,"Household Services",0,0,16
"314",2020-01-19,"Personal Care",589.613471175234,122.335092973043,16
"315",2020-01-19,"Phone Calls",0,0,16
"316",2020-01-19,"Care Services",17.8524661345013,54.4787460286597,16
"317",2020-01-19,"Consumer Purchasing",24.5598293978298,47.8149597709489,16
"318",2020-01-19,"Religious/Spiritual Activities",1.35232123953252,10.9489789184464,16
"319",2020-01-19,"Socializing and Leisure",183.869006741802,182.54022399986,16
"320",2020-01-19,"Sports and Exercise",10.2668505537659,23.827186194921,16
"321",2020-01-19,"Traveling",80.4004922607787,61.8110302249519,16
"322",2020-01-19,"Volunteering",1.24897777407877,4.14423952100719,16
"323",2020-01-19,"Work",238.714321191776,245.835604965518,16
"324",2020-01-20,"Caring for Household",29.8802718711682,59.0056704728495,13
"325",2020-01-20,"Caring for Non-Household",87.3830135572529,241.707279890936,13
"326",2020-01-20,"Education",0,0,13
"327",2020-01-20,"Eating and Drinking",42.4261125447425,21.0595892436426,13
"328",2020-01-20,"Civic Duties",0,0,13
"329",2020-01-20,"Household Activities",79.2449388685396,74.3883291210042,13
"330",2020-01-20,"Household Services",0,0,13
"331",2020-01-20,"Personal Care",584.632440249099,161.047410941951,13
"332",2020-01-20,"Phone Calls",7.24878931147427,17.3423410398276,13
"333",2020-01-20,"Care Services",7.25561076367679,19.56253460921,13
"334",2020-01-20,"Consumer Purchasing",0,0,13
"335",2020-01-20,"Religious/Spiritual Activities",0.903540619358341,5.12736121919616,13
"336",2020-01-20,"Socializing and Leisure",252.25792327382,148.169064893287,13
"337",2020-01-20,"Sports and Exercise",33.7139115469108,54.2778921528328,13
"338",2020-01-20,"Traveling",44.4893230426704,42.7032396407524,13
"339",2020-01-20,"Volunteering",0,0,13
"340",2020-01-20,"Work",247.651281125529,266.291532640854,13
"341",2020-01-21,"Caring for Household",0,0,11
"342",2020-01-21,"Caring for Non-Household",0.499712282828599,2.0455640396085,11
"343",2020-01-21,"Education",51.6240416695202,143.677932992153,11
"344",2020-01-21,"Eating and Drinking",44.5718394193484,20.4068962680254,11
"345",2020-01-21,"Civic Duties",0,0,11
"346",2020-01-21,"Household Activities",73.8870222745855,99.634816968913,11
"347",2020-01-21,"Household Services",0,0,11
"348",2020-01-21,"Personal Care",653.467785317177,124.183676079031,11
"349",2020-01-21,"Phone Calls",12.6335718279679,35.5669957319231,11
"350",2020-01-21,"Care Services",51.9087493029348,65.9779864406867,11
"351",2020-01-21,"Consumer Purchasing",3.21868047318361,8.05159920559255,11
"352",2020-01-21,"Religious/Spiritual Activities",1.50264624875879,7.09469333192467,11
"353",2020-01-21,"Socializing and Leisure",244.476361941024,118.174177709227,11
"354",2020-01-21,"Sports and Exercise",0,0,11
"355",2020-01-21,"Traveling",75.7556353441598,57.3329500143334,11
"356",2020-01-21,"Volunteering",0,0,11
"357",2020-01-21,"Work",168.798277853079,227.624619432912,11
"358",2020-01-22,"Caring for Household",56.063651834787,70.6984954785264,10
"359",2020-01-22,"Caring for Non-Household",0,0,10
"360",2020-01-22,"Education",0,0,10
"361",2020-01-22,"Eating and Drinking",53.4493196250915,31.9166234733373,10
"362",2020-01-22,"Civic Duties",0,0,10
"363",2020-01-22,"Household Activities",77.0300857833142,73.911682683573,10
"364",2020-01-22,"Household Services",0,0,10
"365",2020-01-22,"Personal Care",606.008402709141,127.820615258399,10
"366",2020-01-22,"Phone Calls",5.64009409372408,21.6321941638114,10
"367",2020-01-22,"Care Services",0,0,10
"368",2020-01-22,"Consumer Purchasing",7.42820886164722,15.0569230105095,10
"369",2020-01-22,"Religious/Spiritual Activities",0,0,10
"370",2020-01-22,"Socializing and Leisure",232.121667171656,174.73532772772,10
"371",2020-01-22,"Sports and Exercise",6.213651300849,26.5900112572724,10
"372",2020-01-22,"Traveling",58.5611012378179,101.483138160314,10
"373",2020-01-22,"Volunteering",0,0,10
"374",2020-01-22,"Work",294.970521525138,250.7589805832,10
"375",2020-01-23,"Caring for Household",25.0891178460181,71.7756005411785,19
"376",2020-01-23,"Caring for Non-Household",6.10436414929846,15.6729074192391,19
"377",2020-01-23,"Education",43.8277415597758,79.2514331089798,19
"378",2020-01-23,"Eating and Drinking",52.8937930983813,40.9811829363233,19
"379",2020-01-23,"Civic Duties",0,0,19
"380",2020-01-23,"Household Activities",57.7648637231061,76.6009741963965,19
"381",2020-01-23,"Household Services",1.07104551152679,7.94453223251796,19
"382",2020-01-23,"Personal Care",538.86438454169,149.815863963325,19
"383",2020-01-23,"Phone Calls",0,0,19
"384",2020-01-23,"Care Services",2.67712159129546,11.2612011764323,19
"385",2020-01-23,"Consumer Purchasing",21.0449001917625,50.7320478992758,19
"386",2020-01-23,"Religious/Spiritual Activities",9.34364598208193,19.3818094254493,19
"387",2020-01-23,"Socializing and Leisure",392.091252698719,300.405030647839,19
"388",2020-01-23,"Sports and Exercise",10.2398931252948,28.6041891365575,19
"389",2020-01-23,"Traveling",52.5471837812502,51.3198998656307,19
"390",2020-01-23,"Volunteering",0,0,19
"391",2020-01-23,"Work",214.360217450776,268.297362115877,19
"392",2020-01-24,"Caring for Household",1.44089398397161,8.06801047217301,24
"393",2020-01-24,"Caring for Non-Household",7.67694852950815,31.1236342646664,24
"394",2020-01-24,"Education",26.9836615567569,64.2568370774492,24
"395",2020-01-24,"Eating and Drinking",69.1070420837225,43.0620877329585,24
"396",2020-01-24,"Civic Duties",0,0,24
"397",2020-01-24,"Household Activities",79.7951485601504,122.962357182392,24
"398",2020-01-24,"Household Services",0,0,24
"399",2020-01-24,"Personal Care",647.816382173483,129.017813557497,24
"400",2020-01-24,"Phone Calls",8.05633774067078,29.1264901631866,24
"401",2020-01-24,"Care Services",2.88518550620798,15.5091021879953,24
"402",2020-01-24,"Consumer Purchasing",9.98066583032995,11.9589062636254,24
"403",2020-01-24,"Religious/Spiritual Activities",2.16135545415581,9.99355850985606,24
"404",2020-01-24,"Socializing and Leisure",423.852507798003,177.161785209209,24
"405",2020-01-24,"Sports and Exercise",5.64128948540019,11.2238323482727,24
"406",2020-01-24,"Traveling",34.1624161441791,31.9427899365159,24
"407",2020-01-24,"Volunteering",4.40053526721149,27.7980510391601,24
"408",2020-01-24,"Work",111.839187349561,174.395677818638,24
"409",2020-01-25,"Caring for Household",25.6566037457324,60.9349343587356,45
"410",2020-01-25,"Caring for Non-Household",12.6231184401353,51.9976656863004,45
"411",2020-01-25,"Education",15.1391446497415,61.622351699837,45
"412",2020-01-25,"Eating and Drinking",63.5203884116938,52.7259892025739,45
