"","MONTH","ACTIVITY","mean","sd","n"
"32","1","Traveling",60.1116344187155,61.1150427209884,790
"33","1","Volunteering",6.75443441174314,37.9187384939965,790
"34","1","Work",216.497701413284,261.150972735019,790
"35","2","Caring for Household",30.566250392751,97.038361155148,804
"36","2","Caring for Non-Household",6.79344017420635,39.1996119924663,804
"37","2","Education",39.8374777783875,133.930657576353,804
"38","2","Eating and Drinking",61.1350418126107,44.3003539737185,804
"39","2","Civic Duties",0.0630729176148129,1.52003193466427,804
"40","2","Household Activities",100.145967140171,128.643132487277,804
"41","2","Household Services",0.217942840999463,2.53938922772837,804
"42","2","Personal Care",581.654722368456,138.82809259449,804
"43","2","Phone Calls",5.52829462405249,22.5476976761796,804
"44","2","Care Services",7.60120869234679,33.5537067403307,804
"45","2","Consumer Purchasing",21.9395818013602,47.9719633564454,804
"46","2","Religious/Spiritual Activities",6.16365845498307,26.3016394302043,804
"47","2","Socializing and Leisure",272.88977802713,210.326024898192,804
"48","2","Sports and Exercise",15.0392412832074,45.5170238904136,804
"49","2","Traveling",70.7348484586115,70.5228857141971,804
"50","2","Volunteering",6.29248866466954,34.4485911250886,804
"51","2","Work",199.623439729884,263.362787255076,804
"52","3","Caring for Household",23.8725766058208,67.4690690931334,507
"53","3","Caring for Non-Household",4.23076463050868,25.5439588924609,507
"54","3","Education",42.0741586187045,131.790217120279,507
"55","3","Eating and Drinking",65.2648597896581,45.0012038701248,507
"56","3","Civic Duties",0.360679692216809,5.98290450941581,507
"57","3","Household Activities",112.495095874284,135.598383986128,507
"58","3","Household Services",0.258652249280925,3.07785583085304,507
"59","3","Personal Care",576.481810512474,123.42118627917,507
"60","3","Phone Calls",6.98390674699197,34.2749524026441,507
"61","3","Care Services",4.03067432406765,18.4675381667983,507
"62","3","Consumer Purchasing",20.8377356596316,42.2779719430701,507
"63","3","Religious/Spiritual Activities",6.2326121897128,29.2300712653101,507
"64","3","Socializing and Leisure",284.290859572213,213.595651116903,507
"65","3","Sports and Exercise",21.6394183938754,52.0957238697314,507
"66","3","Traveling",57.7337779738432,69.0743599078755,507
"67","3","Volunteering",8.24536483466607,46.5638077219969,507
"68","3","Work",195.692611688895,247.420327822297,507
"69","5","Caring for Household",26.8781541713205,89.360892944347,634
"70","5","Caring for Non-Household",5.67803830151373,38.3068564959027,634
"71","5","Education",14.8780623273986,68.8031060373191,634
"72","5","Eating and Drinking",65.1653387840793,43.7437258369563,634
"73","5","Civic Duties",0.132057494711371,2.2235073638581,634
"74","5","Household Activities",131.70049023783,148.86913785782,634
"75","5","Household Services",0.426422643919783,4.64768829442389,634
"76","5","Personal Care",580.158331802206,123.161956949517,634
"77","5","Phone Calls",9.08539347490832,32.6562818348646,634
"78","5","Care Services",1.89928615365424,18.4249622007609,634
"79","5","Consumer Purchasing",14.8527968899115,39.7446660333875,634
"80","5","Religious/Spiritual Activities",6.66432689239831,37.1805501988438,634
"81","5","Socializing and Leisure",334.723611256363,227.176686144985,634
"82","5","Sports and Exercise",19.3577947608129,51.6895832293919,634
"83","5","Traveling",31.5302804336643,52.0666878563389,634
"84","5","Volunteering",2.6814586454589,17.5886113382066,634
"85","5","Work",183.023468602505,252.168771742169,634
"86","6","Caring for Household",23.0101545333607,73.6104139826331,1007
"87","6","Caring for Non-Household",6.5732087771045,37.8701578184397,1007
"88","6","Education",10.5377612102466,54.1069660280676,1007
"89","6","Eating and Drinking",66.1371639519466,47.263647463305,1007
"90","6","Civic Duties",0.136687804049646,3.64022498501375,1007
"91","6","Household Activities",127.929065468422,141.798060584021,1007
"92","6","Household Services",1.86862305275355,18.4490131049391,1007
"93","6","Personal Care",583.019998747253,126.478079546424,1007
"94","6","Phone Calls",9.81788553918839,39.2250491073797,1007
"95","6","Care Services",5.81833963359499,30.2486539555642,1007
"96","6","Consumer Purchasing",14.3790611187353,35.3491324174483,1007
"97","6","Religious/Spiritual Activities",6.16206346921706,29.2357976591316,1007
"98","6","Socializing and Leisure",318.228295384555,217.21102945355,1007
"99","6","Sports and Exercise",28.8213999739079,69.9077432823824,1007
"100","6","Traveling",43.3027281387688,58.7627487073268,1007
"101","6","Volunteering",4.14427935871316,31.0533598106367,1007
"102","6","Work",176.650922438604,244.338518241056,1007
"103","7","Caring for Household",21.1322225880615,69.7203862889674,832
"104","7","Caring for Non-Household",6.49562380369924,43.5796630592809,832
"105","7","Education",5.24110146633883,36.4103225640783,832
"106","7","Eating and Drinking",66.0164170102866,47.7904971412837,832
"107","7","Civic Duties",0.121975351965495,5.05963891296197,832
"108","7","Household Activities",128.101418612492,147.762488407428,832
"109","7","Household Services",1.22652895564736,10.095534169279,832
"110","7","Personal Care",572.902784157,133.804384282579,832
"111","7","Phone Calls",11.2745757301789,42.5102097175297,832
"112","7","Care Services",5.23991670335487,32.9922081229661,832
"113","7","Consumer Purchasing",16.3408825427228,35.8734940911236,832
"114","7","Religious/Spiritual Activities",4.77042599464896,24.9737458965245,832
"115","7","Socializing and Leisure",303.179546103265,215.688251399101,832
"116","7","Sports and Exercise",26.8367144988721,69.8435901999374,832
"117","7","Traveling",54.613508923527,88.6042779137091,832
"118","7","Volunteering",5.09479676483223,40.2310365462606,832
"119","7","Work",199.168236353912,254.5468022366,832
"120","8","Caring for Household",21.0640774448802,71.7930851899995,939
"121","8","Caring for Non-Household",11.0192033154906,58.3899522872654,939
"122","8","Education",8.04016064834499,45.3633257973635,939
"123","8","Eating and Drinking",66.8434335640421,47.3498470687683,939
"124","8","Civic Duties",0.166982646683695,3.49335367957105,939
"125","8","Household Activities",126.891131008354,150.221959783732,939
"126","8","Household Services",0.690404078518351,9.41060234419715,939
"127","8","Personal Care",582.04274355506,144.492578064282,939
"128","8","Phone Calls",7.92447658209505,28.2240288355252,939
"129","8","Care Services",4.27756388159716,23.2058461902482,939
"130","8","Consumer Purchasing",15.6193916587786,41.0099448059551,939
"131","8","Religious/Spiritual Activities",5.81540173077201,31.6664370808434,939
"132","8","Socializing and Leisure",323.12426744945,230.680244061277,939
"133","8","Sports and Exercise",29.5978677589015,71.4785262062179,939
"134","8","Traveling",49.6341615344593,72.9955677726071,939
"135","8","Volunteering",5.16824521450543,37.6739614614306,939
"136","8","Work",173.053652956623,250.112911302449,939
"137","9","Caring for Household",34.3602790299245,94.9256278707487,736
"138","9","Caring for Non-Household",10.9055808983929,69.8317816887835,736
"139","9","Education",34.5617426010684,119.452897996134,736
"140","9","Eating and Drinking",62.5903918145237,44.6929025498366,736
"141","9","Civic Duties",0.138774558487894,2.34419839337584,736
"142","9","Household Activities",111.840996992573,134.116952994497,736
"143","9","Household Services",0.528767491617102,6.21064028226859,736
"144","9","Personal Care",579.859945709337,134.718699587698,736
"145","9","Phone Calls",7.95622721811995,27.6564580709491,736
"146","9","Care Services",4.89348905709373,24.7167897450931,736
"147","9","Consumer Purchasing",17.794624946086,38.3457253940905,736
"148","9","Religious/Spiritual Activities",5.03345541097082,25.1447343122522,736
"149","9","Socializing and Leisure",276.165620932888,203.593318213269,736
"150","9","Sports and Exercise",21.3899533275133,49.5522869031052,736
"151","9","Traveling",53.0283494849336,68.8468178454902,736
"152","9","Volunteering",5.76273657251728,42.9770987346524,736
"153","9","Work",200.886092723328,249.46524206029,736
"154","10","Caring for Household",29.014062069502,88.7502776828713,854
"155","10","Caring for Non-Household",11.2821775887169,61.1792699363756,854
"156","10","Education",37.9751387552646,131.205518830312,854
"157","10","Eating and Drinking",60.0262460125209,45.3573345004646,854
"158","10","Civic Duties",0.319678154732008,4.19697819863667,854
"159","10","Household Activities",113.61401383031,138.152050203267,854
"160","10","Household Services",0.615100566905296,5.33606524083154,854
"161","10","Personal Care",576.981230342505,147.210053329344,854
"162","10","Phone Calls",10.071805877162,33.9931593717716,854
"163","10","Care Services",6.18982471713163,31.2161323937008,854
"164","10","Consumer Purchasing",15.3299099745143,32.593066713313,854
"165","10","Religious/Spiritual Activities",5.82790099745115,26.1061086354083,854
"166","10","Socializing and Leisure",304.005583172237,227.858562138064,854
"167","10","Sports and Exercise",19.8357186383894,51.8007275893708,854
"168","10","Traveling",47.6860623240919,65.3575540155284,854
"169","10","Volunteering",6.22585177057525,41.6062011560324,854
"170","10","Work",183.007746848107,261.883210400436,854
"171","11","Caring for Household",28.1866242497496,78.425183355667,851
"172","11","Caring for Non-Household",7.97588460117203,49.5749762141561,851
"173","11","Education",36.1640239963009,111.306289273774,851
"174","11","Eating and Drinking",59.736587836303,47.2923262776166,851
"175","11","Civic Duties",0.120552761762012,1.60966336707789,851
"176","11","Household Activities",121.000647120941,145.926567221051,851
"177","11","Household Services",0.940359778105107,9.74859955962533,851
"178","11","Personal Care",580.23546658133,132.390701813521,851
"179","11","Phone Calls",13.5135109946477,45.4705246555346,851
"180","11","Care Services",5.7948992567021,34.2780738293259,851
"181","11","Consumer Purchasing",21.1519773347048,51.0040356863676,851
"182","11","Religious/Spiritual Activities",7.11434261936131,36.0150351193091,851
"183","11","Socializing and Leisure",296.292723126781,220.932093957943,851
"184","11","Sports and Exercise",18.3784986062976,66.7853665504764,851
"185","11","Traveling",47.9092394344728,58.0515298681583,851
"186","11","Volunteering",4.76327114506659,28.4526212371524,851
"187","11","Work",180.170785756574,248.953801997149,851
"188","12","Caring for Household",22.7799465330456,72.6247774832993,693
"189","12","Caring for Non-Household",5.83654161851844,37.9679522598773,693
"190","12","Education",29.7528936729392,104.163778066169,693
"191","12","Eating and Drinking",63.7954055919124,46.1509858042285,693
"192","12","Civic Duties",0.189335082517993,4.1236282149909,693
"193","12","Household Activities",126.981220265893,155.385043461093,693
"194","12","Household Services",0.943195145866817,9.37111820050409,693
"195","12","Personal Care",580.53153478115,136.779936421925,693
"196","12","Phone Calls",11.2518673311385,34.9548751480514,693
"197","12","Care Services",6.40385554211351,35.1054837466588,693
"198","12","Consumer Purchasing",18.4346682407744,39.5264611184631,693
"199","12","Religious/Spiritual Activities",4.33755220063033,23.5755419808747,693
"200","12","Socializing and Leisure",323.113211192305,235.275071779266,693
"201","12","Sports and Exercise",12.2688231647418,34.5735694910811,693
"202","12","Traveling",45.3112973733738,73.7584385528531,693
"203","12","Volunteering",5.1336122173395,28.3898849903714,693
"204","12","Work",172.48315508504,243.308293267829,693
